rank,representation_family,embedding,mtr_model,teacher,augmentation,rrmse
20,augmented + frozen sentence + MTR,e5_base,local_lasso,teacher_e5_base_local_lasso,A10,0.6903417110443115
21,augmented + frozen sentence + MTR,e5_base,local_lasso,teacher_e5_base_chainERCcv_lr,A10,0.6903446912765503
22,augmented + frozen sentence + MTR,e5_base,chain_ERCcv_lr,teacher_e5_base_local_lasso,A200,0.6911075711250305
23,frozen sentence + MTR,e5_large,chain_ERCcv_lr,NA,NA,0.6957585191292126
24,augmented + frozen sentence + MTR,e5_base,local_lasso,teacher_e5_base_local_lasso,A20,0.6960203647613525
25,augmented + frozen sentence + MTR,e5_base,local_lasso,teacher_e5_base_chainERCcv_lr,A400,0.6980307102203369
26,frozen sentence + MTR,e5_base,local_lasso,NA,NA,0.7046550520754471
27,augmented + frozen sentence + MTR,e5_base,local_lasso,teacher_e5_base_local_lasso,A400,0.7061293125152588
28,augmented + frozen sentence + MTR,e5_base,chain_ERCcv_lr,teacher_e5_base_local_lasso,A400,0.7084680795669556
29,frozen sentence + MTR,simcse_xlmr_base,chain_ERCcv_lr,NA,NA,0.7354910183540948
30,frozen sentence + MTR,sbert_bert,local_lasso,NA,NA,0.7359021790796512
31,frozen sentence + MTR,sbert_roberta,local_lasso,NA,NA,0.7408946282373099
32,frozen sentence + MTR,sbert_bert,chain_ERCcv_lr,NA,NA,0.740976691659745
33,frozen sentence + MTR,simcse_xlmr_base,local_lasso,NA,NA,0.7443459975917083
34,frozen token mean + MTR,robbert2023,local_lasso,NA,NA,0.7527659508715315
35,frozen sentence + MTR,sbert_roberta,chain_ERCcv_lr,NA,NA,0.7562076892106837
36,frozen sentence + MTR,labse,chain_ERCcv_lr,NA,NA,0.7580231656892906
37,frozen token mean + MTR,robbert2023,chain_ERCcv_lr,NA,NA,0.763903497092749
38,frozen sentence + MTR,labse,local_lasso,NA,NA,0.7663618972113972
39,augmented + frozen sentence + MTR,e5_base,chain_ERCcv_rf,teacher_e5_base_chainERCcv_lr,A400,0.7718108296394348
40,augmented + frozen sentence + MTR,e5_base,chain_ERCcv_rf,teacher_e5_base_chainERCcv_lr,A20,0.7783243656158447
41,augmented + frozen sentence + MTR,e5_base,local_rf,teacher_e5_base_chainERCcv_lr,A400,0.779708981513977
42,frozen sentence + MTR,sbert_bert,chain_ERCcv_rf,NA,NA,0.7833444452561392
43,frozen sentence + MTR,simcse_xlmr_base,chain_ERCcv_rf,NA,NA,0.784000285615255
44,augmented + frozen sentence + MTR,e5_base,chain_ERCcv_rf,teacher_e5_base_chainERCcv_lr,A200,0.7876052856445312
45,augmented + frozen sentence + MTR,e5_base,chain_ERCcv_rf,teacher_e5_base_chainERCcv_lr,A100,0.79018235206604
46,augmented + frozen sentence + MTR,e5_base,chain_ERCcv_rf,teacher_e5_base_chainERCcv_lr,A50,0.7916959524154663
47,augmented + frozen sentence + MTR,e5_base,local_rf,teacher_e5_base_chainERCcv_lr,A20,0.7920408248901367
48,frozen token mean + MTR,rembert,local_lasso,NA,NA,0.794209751807285
49,frozen sentence + MTR,e5_large,chain_ERCcv_rf,NA,NA,0.7973566997907899
50,frozen sentence + MTR,simcse_xlmr_base,local_rf,NA,NA,0.7980482441809427
51,augmented + frozen sentence + MTR,e5_base,chain_ERCcv_rf,teacher_e5_base_chainERCcv_lr,A10,0.7982895374298096
52,frozen token max + MTR,robbert2023,local_lasso,NA,NA,0.8031268313381978
53,frozen token mean + MTR,bert,local_lasso,NA,NA,0.8055548625825076
54,frozen sentence + MTR,sbert_bert,local_rf,NA,NA,0.8078873362277804
55,augmented + frozen sentence + MTR,e5_base,local_rf,teacher_e5_base_chainERCcv_lr,A50,0.8105295896530151
56,frozen sentence + MTR,sbert_bert,global_rf,NA,NA,0.81223421077362
57,frozen token mean + MTR,rembert,chain_ERCcv_lr,NA,NA,0.8127351612421809
58,frozen token max + MTR,bert,local_lasso,NA,NA,0.8130099102719834
59,static + MTR,fasttext,chain_ERCcv_lr,NA,NA,0.8131081318517492
60,static + MTR,fasttext,local_lasso,NA,NA,0.8138720230247248
61,static + MTR,fasttext,local_lr,NA,NA,0.8151430135922247
62,frozen token mean + MTR,bert,chain_ERCcv_lr,NA,NA,0.8157120453072193
63,augmented + frozen sentence + MTR,e5_base,local_rf,teacher_e5_base_chainERCcv_lr,A200,0.8163104057312012
64,frozen sentence + MTR,sbert_roberta,chain_ERCcv_rf,NA,NA,0.8172705933582293
65,frozen token max + MTR,robbert2023,chain_ERCcv_lr,NA,NA,0.8188192388585787
66,augmented + frozen sentence + MTR,e5_base,local_rf,teacher_e5_base_chainERCcv_lr,A100,0.8234749436378479
67,augmented + frozen sentence + MTR,e5_base,global_rf,teacher_e5_base_chainERCcv_lr,A400,0.8244231343269348
68,augmented + frozen sentence + MTR,e5_base,global_rf,teacher_e5_base_chainERCcv_lr,A50,0.8244674801826477
69,frozen sentence + MTR,sbert_roberta,local_rf,NA,NA,0.8253780769011966
70,frozen sentence + MTR,e5_base,chain_ERCcv_rf,NA,NA,0.8263189244934741
71,frozen sentence + MTR,e5_large,local_rf,NA,NA,0.8283199569029319
72,frozen token max + MTR,bert,chain_ERCcv_lr,NA,NA,0.8304135460891455
73,augmented + frozen sentence + MTR,e5_base,local_rf,teacher_e5_base_chainERCcv_lr,A10,0.8339238166809082
74,frozen sentence + MTR,sbert_roberta,global_rf,NA,NA,0.8342381812521934
75,augmented + frozen sentence + MTR,e5_base,global_rf,teacher_e5_base_chainERCcv_lr,A20,0.8391157984733582
76,static + MTR,word2vec,local_lasso,NA,NA,0.8406017524316571
77,frozen sentence + MTR,labse,chain_ERCcv_rf,NA,NA,0.8407615939838032
78,frozen sentence + MTR,simcse_xlmr_base,global_rf,NA,NA,0.8446403807267875
79,frozen sentence + MTR,e5_base,local_rf,NA,NA,0.8459190850375101
80,static + MTR,word2vec,local_lr,NA,NA,0.8461259155631972
81,frozen sentence + MTR,labse,local_rf,NA,NA,0.8513164756600555
82,static + MTR,word2vec,chain_ERCcv_lr,NA,NA,0.8514462866076595
83,frozen token mean + MTR,robbert2023,chain_ERCcv_rf,NA,NA,0.8534669896686533
84,augmented + frozen sentence + MTR,e5_base,global_rf,teacher_e5_base_chainERCcv_lr,A100,0.8535631895065308
85,augmented + frozen sentence + MTR,e5_base,global_rf,teacher_e5_base_chainERCcv_lr,A200,0.8551727533340454
86,augmented + frozen sentence + MTR,e5_base,global_rf,teacher_e5_base_chainERCcv_lr,A10,0.8585060834884644
87,frozen token max + MTR,robbert_v2,chain_ERCcv_lr,NA,NA,0.8627067005952962
88,frozen token mean + MTR,robbert_v2,local_lasso,NA,NA,0.8654134681047392
89,frozen token mean + MTR,xlmr_large,local_lasso,NA,NA,0.8677010844560473
90,frozen sentence + MTR,e5_large,global_rf,NA,NA,0.8686932466662212
91,frozen token mean + MTR,robbert2023,local_rf,NA,NA,0.8692673361042687
92,frozen token max + MTR,robbert_v2,local_lasso,NA,NA,0.8699152062732196
93,static + MTR,word2vec,chain_ERCcv_rf,NA,NA,0.8702091611107399
94,frozen token cls + MTR,bert,local_lasso,NA,NA,0.8709018049712243
95,frozen token cls + MTR,robbert2023,chain_ERCcv_rf,NA,NA,0.8718219595764154
96,frozen token cls + MTR,robbert2023,local_rf,NA,NA,0.8765309881822925
97,frozen token mean + MTR,bert,local_rf,NA,NA,0.8777290238380905
98,frozen sentence + MTR,e5_base,global_rf,NA,NA,0.8784118039289663
99,frozen token mean + MTR,bert,chain_ERCcv_rf,NA,NA,0.8801948226568321
100,frozen token cls + MTR,robbert_v2,local_lasso,NA,NA,0.8853026776988231
101,frozen token mean + MTR,robbert2023,global_rf,NA,NA,0.8855517822855121
102,static + MTR,fasttext,local_rf,NA,NA,0.8857742371972108
103,frozen token cls + MTR,bert,chain_ERCcv_lr,NA,NA,0.8869198704366293
104,static + MTR,word2vec,global_bag,NA,NA,0.8901262574526678
105,frozen token max + MTR,bert,local_rf,NA,NA,0.8905192245919185
106,frozen token max + MTR,robbert2023,chain_ERCcv_rf,NA,NA,0.890823090628545
107,static + MTR,word2vec,local_rf,NA,NA,0.8909127439316208
108,frozen token mean + MTR,xlmr_large,chain_ERCcv_lr,NA,NA,0.8940931010412414
109,frozen token mean + MTR,robbert_v2,chain_ERCcv_lr,NA,NA,0.8942179399357139
110,static + MTR,word2vec,global_rf,NA,NA,0.8942985979760136
111,static + MTR,fasttext,global_bag,NA,NA,0.8943069521011634
112,frozen sentence + MTR,labse,global_rf,NA,NA,0.8944459300157585
113,frozen token cls + MTR,robbert2023,local_lasso,NA,NA,0.8949530043603593
114,static + MTR,fasttext,chain_ERCcv_rf,NA,NA,0.8953812939492201
115,frozen token max + MTR,bert,chain_ERCcv_rf,NA,NA,0.8966352744988514
116,frozen token mean + MTR,rembert,chain_ERCcv_rf,NA,NA,0.8973035501951245
117,static + MTR,fasttext,global_rf,NA,NA,0.8991964770472818
118,frozen token cls + MTR,robbert2023,global_rf,NA,NA,0.8995152989579792
119,frozen token max + MTR,robbert2023,local_rf,NA,NA,0.8997137523969592
120,frozen token cls + MTR,robbert_v2,chain_ERCcv_lr,NA,NA,0.9101709311820216
121,frozen token mean + MTR,robbert_v2,local_rf,NA,NA,0.9123357613222913
122,frozen token cls + MTR,robbert_v2,chain_ERCcv_rf,NA,NA,0.9127331240098877
123,frozen token mean + MTR,robbert_v2,chain_ERCcv_rf,NA,NA,0.9148878794867963
124,frozen token cls + MTR,robbert_v2,local_rf,NA,NA,0.9171010462301062
125,frozen token cls + MTR,bert,chain_ERCcv_rf,NA,NA,0.9178064645788933
126,frozen token mean + MTR,rembert,local_rf,NA,NA,0.9210688404230492
127,frozen token cls + MTR,robbert_v2,global_rf,NA,NA,0.9225549520386005
128,frozen token cls + MTR,bert,local_rf,NA,NA,0.9258395887173746
129,frozen token mean + MTR,bert,global_rf,NA,NA,0.9258523622579216
130,frozen token mean + MTR,xlmr_large,local_rf,NA,NA,0.9269232856822798
131,frozen token max + MTR,robbert2023,global_rf,NA,NA,0.928528992288515
132,frozen token max + MTR,bert,global_rf,NA,NA,0.9286413062560605
133,frozen token mean + MTR,xlmr_large,chain_ERCcv_rf,NA,NA,0.9294337001391473
134,static + MTR,word2vec,chain_ERCcv_lasso,NA,NA,0.9300026744163754
135,frozen token max + MTR,robbert_v2,local_rf,NA,NA,0.9303049710500937
136,frozen token mean + MTR,rembert,global_rf,NA,NA,0.9321788039163035
137,frozen token mean + MTR,robbert_v2,global_rf,NA,NA,0.9340743894515846
138,frozen token max + MTR,robbert_v2,chain_ERCcv_rf,NA,NA,0.9365420545175582
139,frozen token max + MTR,rembert,chain_ERCcv_rf,NA,NA,0.9390351626915572
140,frozen token max + MTR,robbert_v2,global_rf,NA,NA,0.942135463524679
141,frozen token cls + MTR,bert,global_rf,NA,NA,0.9500938177714613
142,frozen token max + MTR,xlmr_large,chain_ERCcv_lr,NA,NA,0.9531430955244184
143,frozen token max + MTR,rembert,local_rf,NA,NA,0.9537761662578068
144,frozen token max + MTR,rembert,local_lasso,NA,NA,0.955681144018224
145,frozen token cls + MTR,xlmr_large,chain_ERCcv_rf,NA,NA,0.9588362233227719
146,frozen token mean + MTR,xlmr_large,global_rf,NA,NA,0.9636755495864203
147,frozen token max + MTR,xlmr_large,local_lasso,NA,NA,0.9642366843451208
148,frozen token cls + MTR,robbert2023,chain_ERCcv_lr,NA,NA,0.965874415599276
149,frozen token cls + MTR,xlmr_large,local_rf,NA,NA,0.9693990096045002
150,frozen token max + MTR,xlmr_large,global_rf,NA,NA,0.9718082635010481
151,frozen token cls + MTR,xlmr_large,global_rf,NA,NA,0.9756655117231533
152,frozen token cls + MTR,xlmr_large,local_lasso,NA,NA,0.9768344938257676
153,frozen token max + MTR,xlmr_large,chain_ERCcv_rf,NA,NA,0.9814646793490465
154,frozen token max + MTR,rembert,global_rf,NA,NA,0.9837649961066866
155,frozen token max + MTR,xlmr_large,local_rf,NA,NA,0.9841041661807342
156,frozen token mean + MTR,deberta,local_rf,NA,NA,0.9850896471237589
157,frozen token max + MTR,deberta,chain_ERCcv_rf,NA,NA,0.9854988747036499
158,fine-tuned LoRA,simcse_xlmr_base,fine-tuned,NA,NA,0.9855434597121746
159,frozen token mean + MTR,deberta,chain_ERCcv_rf,NA,NA,0.985592943850647
160,fine-tuned LoRA,sbert_bert,fine-tuned,NA,NA,0.9862444487267528
161,frozen token cls + MTR,xlmr_large,chain_ERCcv_lr,NA,NA,0.9863822515901448
162,frozen token mean + MTR,deberta,global_rf,NA,NA,0.9890365053340806
163,frozen token max + MTR,rembert,chain_ERCcv_lr,NA,NA,0.9893953273214227
164,frozen token max + MTR,deberta,chain_ERCcv_lr,NA,NA,0.9947712614017894
165,frozen token max + MTR,deberta,global_rf,NA,NA,0.995209136132538
166,frozen token max + MTR,deberta,local_rf,NA,NA,0.9957406951258483
167,frozen token cls + MTR,deberta,chain_ERCcv_lr,NA,NA,0.9978807685052751
168,frozen token cls + MTR,rembert,local_lasso,NA,NA,0.9999999995274282
169,static + MTR,fasttext,chain_ERCcv_lasso,NA,NA,0.9999999999993276
170,frozen token max + MTR,deberta,local_lasso,NA,NA,1.0000000000728009
171,frozen token mean + MTR,deberta,local_lasso,NA,NA,1.0000000005454663
172,frozen token cls + MTR,deberta,local_lasso,NA,NA,1.0000000062002967
173,fine-tuned LoRA,e5_large,fine-tuned,NA,NA,1.0000261534435615
174,frozen token mean + MTR,deberta,chain_ERCcv_lr,NA,NA,1.0090582825050787
175,frozen token cls + MTR,rembert,global_rf,NA,NA,1.0108946191690946
176,frozen token cls + MTR,deberta,global_rf,NA,NA,1.0148540357436777
177,frozen token cls + MTR,rembert,chain_ERCcv_lr,NA,NA,1.0159715297769858
178,frozen token cls + MTR,rembert,local_rf,NA,NA,1.0249401742526847
179,frozen token cls + MTR,deberta,chain_ERCcv_rf,NA,NA,1.0284469346157818
180,frozen token cls + MTR,rembert,chain_ERCcv_rf,NA,NA,1.0333196317350979
181,frozen token cls + MTR,deberta,local_rf,NA,NA,1.0516410057490657
