embedding,model,fold,base,output_csv,expected_rows,has_index,has_synth_npy,has_hp_json,has_teacher_pkl,status
e5_base,chain_ERCcv_lr,5,n768_gemma,g2f_labels_fold05_n768_gemma__e5_base__chain_ERCcv_lr.csv,768,True,True,True,True,present
e5_base,chain_ERCcv_lr,5,n96_gemma,g2f_labels_fold05_n96_gemma__e5_base__chain_ERCcv_lr.csv,96,True,True,True,True,present
e5_base,chain_ERCcv_lr,6,n1536_gemma,g2f_labels_fold06_n1536_gemma__e5_base__chain_ERCcv_lr.csv,1536,True,True,True,True,present
e5_base,chain_ERCcv_lr,6,n192_gemma,g2f_labels_fold06_n192_gemma__e5_base__chain_ERCcv_lr.csv,192,True,True,True,True,present
e5_base,chain_ERCcv_lr,6,n3072_gemma,g2f_labels_fold06_n3072_gemma__e5_base__chain_ERCcv_lr.csv,3072,True,True,True,True,present
e5_base,chain_ERCcv_lr,6,n384_gemma,g2f_labels_fold06_n384_gemma__e5_base__chain_ERCcv_lr.csv,384,True,True,True,True,present
e5_base,chain_ERCcv_lr,6,n768_gemma,g2f_labels_fold06_n768_gemma__e5_base__chain_ERCcv_lr.csv,768,True,True,True,True,present
e5_base,chain_ERCcv_lr,6,n96_gemma,g2f_labels_fold06_n96_gemma__e5_base__chain_ERCcv_lr.csv,96,True,True,True,True,present
e5_base,chain_ERCcv_lr,7,n1536_gemma,g2f_labels_fold07_n1536_gemma__e5_base__chain_ERCcv_lr.csv,1536,True,True,True,True,present
e5_base,chain_ERCcv_lr,7,n192_gemma,g2f_labels_fold07_n192_gemma__e5_base__chain_ERCcv_lr.csv,192,True,True,True,True,present
e5_base,chain_ERCcv_lr,7,n3072_gemma,g2f_labels_fold07_n3072_gemma__e5_base__chain_ERCcv_lr.csv,3072,True,True,True,True,present
e5_base,chain_ERCcv_lr,7,n384_gemma,g2f_labels_fold07_n384_gemma__e5_base__chain_ERCcv_lr.csv,384,True,True,True,True,present
e5_base,chain_ERCcv_lr,7,n768_gemma,g2f_labels_fold07_n768_gemma__e5_base__chain_ERCcv_lr.csv,768,True,True,True,True,present
e5_base,chain_ERCcv_lr,7,n96_gemma,g2f_labels_fold07_n96_gemma__e5_base__chain_ERCcv_lr.csv,96,True,True,True,True,present
e5_base,chain_ERCcv_lr,8,n1536_gemma,g2f_labels_fold08_n1536_gemma__e5_base__chain_ERCcv_lr.csv,1536,True,True,True,True,present
e5_base,chain_ERCcv_lr,8,n192_gemma,g2f_labels_fold08_n192_gemma__e5_base__chain_ERCcv_lr.csv,192,True,True,True,True,present
e5_base,chain_ERCcv_lr,8,n3072_gemma,g2f_labels_fold08_n3072_gemma__e5_base__chain_ERCcv_lr.csv,3072,True,True,True,True,present
e5_base,chain_ERCcv_lr,8,n384_gemma,g2f_labels_fold08_n384_gemma__e5_base__chain_ERCcv_lr.csv,384,True,True,True,True,present
e5_base,chain_ERCcv_lr,8,n768_gemma,g2f_labels_fold08_n768_gemma__e5_base__chain_ERCcv_lr.csv,768,True,True,True,True,present
e5_base,chain_ERCcv_lr,8,n96_gemma,g2f_labels_fold08_n96_gemma__e5_base__chain_ERCcv_lr.csv,96,True,True,True,True,present
e5_base,chain_ERCcv_lr,9,n1536_gemma,g2f_labels_fold09_n1536_gemma__e5_base__chain_ERCcv_lr.csv,1536,True,True,True,True,present
e5_base,chain_ERCcv_lr,9,n192_gemma,g2f_labels_fold09_n192_gemma__e5_base__chain_ERCcv_lr.csv,192,True,True,True,True,present
e5_base,chain_ERCcv_lr,9,n3072_gemma,g2f_labels_fold09_n3072_gemma__e5_base__chain_ERCcv_lr.csv,3072,True,True,True,True,present
e5_base,chain_ERCcv_lr,9,n384_gemma,g2f_labels_fold09_n384_gemma__e5_base__chain_ERCcv_lr.csv,384,True,True,True,True,present
e5_base,chain_ERCcv_lr,9,n768_gemma,g2f_labels_fold09_n768_gemma__e5_base__chain_ERCcv_lr.csv,768,True,True,True,True,present
e5_base,chain_ERCcv_lr,9,n96_gemma,g2f_labels_fold09_n96_gemma__e5_base__chain_ERCcv_lr.csv,96,True,True,True,True,present
e5_base,chain_ERCcv_lr,10,n1536_gemma,g2f_labels_fold10_n1536_gemma__e5_base__chain_ERCcv_lr.csv,1536,True,True,True,True,present
e5_base,chain_ERCcv_lr,10,n192_gemma,g2f_labels_fold10_n192_gemma__e5_base__chain_ERCcv_lr.csv,192,True,True,True,True,present
e5_base,chain_ERCcv_lr,10,n3072_gemma,g2f_labels_fold10_n3072_gemma__e5_base__chain_ERCcv_lr.csv,3072,True,True,True,True,present
e5_base,chain_ERCcv_lr,10,n384_gemma,g2f_labels_fold10_n384_gemma__e5_base__chain_ERCcv_lr.csv,384,True,True,True,True,present
e5_base,chain_ERCcv_lr,10,n768_gemma,g2f_labels_fold10_n768_gemma__e5_base__chain_ERCcv_lr.csv,768,True,True,True,True,present
e5_base,chain_ERCcv_lr,10,n96_gemma,g2f_labels_fold10_n96_gemma__e5_base__chain_ERCcv_lr.csv,96,True,True,True,True,present
e5_base,chain_ERCcv_lr,11,n1536_gemma,g2f_labels_fold11_n1536_gemma__e5_base__chain_ERCcv_lr.csv,1536,True,True,True,True,present
e5_base,chain_ERCcv_lr,11,n192_gemma,g2f_labels_fold11_n192_gemma__e5_base__chain_ERCcv_lr.csv,192,True,True,True,True,present
e5_base,chain_ERCcv_lr,11,n3072_gemma,g2f_labels_fold11_n3072_gemma__e5_base__chain_ERCcv_lr.csv,3072,True,True,True,True,present
e5_base,chain_ERCcv_lr,11,n384_gemma,g2f_labels_fold11_n384_gemma__e5_base__chain_ERCcv_lr.csv,384,True,True,True,True,present
e5_base,chain_ERCcv_lr,11,n768_gemma,g2f_labels_fold11_n768_gemma__e5_base__chain_ERCcv_lr.csv,768,True,True,True,True,present
e5_base,chain_ERCcv_lr,11,n96_gemma,g2f_labels_fold11_n96_gemma__e5_base__chain_ERCcv_lr.csv,96,True,True,True,True,present
e5_base,chain_ERCcv_lr,12,n1536_gemma,g2f_labels_fold12_n1536_gemma__e5_base__chain_ERCcv_lr.csv,1536,True,True,True,True,present
e5_base,chain_ERCcv_lr,12,n192_gemma,g2f_labels_fold12_n192_gemma__e5_base__chain_ERCcv_lr.csv,192,True,True,True,True,present
e5_base,chain_ERCcv_lr,12,n3072_gemma,g2f_labels_fold12_n3072_gemma__e5_base__chain_ERCcv_lr.csv,3072,True,True,True,True,present
e5_base,chain_ERCcv_lr,12,n384_gemma,g2f_labels_fold12_n384_gemma__e5_base__chain_ERCcv_lr.csv,384,True,True,True,True,present
e5_base,chain_ERCcv_lr,12,n768_gemma,g2f_labels_fold12_n768_gemma__e5_base__chain_ERCcv_lr.csv,768,True,True,True,True,present
e5_base,chain_ERCcv_lr,12,n96_gemma,g2f_labels_fold12_n96_gemma__e5_base__chain_ERCcv_lr.csv,96,True,True,True,True,present
e5_base,chain_ERCcv_lr,13,n1536_gemma,g2f_labels_fold13_n1536_gemma__e5_base__chain_ERCcv_lr.csv,1536,True,True,True,True,present
e5_base,chain_ERCcv_lr,13,n192_gemma,g2f_labels_fold13_n192_gemma__e5_base__chain_ERCcv_lr.csv,192,True,True,True,True,present
e5_base,chain_ERCcv_lr,13,n3072_gemma,g2f_labels_fold13_n3072_gemma__e5_base__chain_ERCcv_lr.csv,3072,True,True,True,True,present
e5_base,chain_ERCcv_lr,13,n384_gemma,g2f_labels_fold13_n384_gemma__e5_base__chain_ERCcv_lr.csv,384,True,True,True,True,present
e5_base,chain_ERCcv_lr,13,n768_gemma,g2f_labels_fold13_n768_gemma__e5_base__chain_ERCcv_lr.csv,768,True,True,True,True,present
e5_base,chain_ERCcv_lr,13,n96_gemma,g2f_labels_fold13_n96_gemma__e5_base__chain_ERCcv_lr.csv,96,True,True,True,True,present
e5_base,chain_ERCcv_lr,14,n1536_gemma,g2f_labels_fold14_n1536_gemma__e5_base__chain_ERCcv_lr.csv,1536,True,True,True,True,present
e5_base,chain_ERCcv_lr,14,n192_gemma,g2f_labels_fold14_n192_gemma__e5_base__chain_ERCcv_lr.csv,192,True,True,True,True,present
e5_base,chain_ERCcv_lr,14,n3072_gemma,g2f_labels_fold14_n3072_gemma__e5_base__chain_ERCcv_lr.csv,3072,True,True,True,True,present
e5_base,chain_ERCcv_lr,14,n384_gemma,g2f_labels_fold14_n384_gemma__e5_base__chain_ERCcv_lr.csv,384,True,True,True,True,present
e5_base,chain_ERCcv_lr,14,n768_gemma,g2f_labels_fold14_n768_gemma__e5_base__chain_ERCcv_lr.csv,768,True,True,True,True,present
e5_base,chain_ERCcv_lr,14,n96_gemma,g2f_labels_fold14_n96_gemma__e5_base__chain_ERCcv_lr.csv,96,True,True,True,True,present
e5_base,chain_ERCcv_lr,15,n1536_gemma,g2f_labels_fold15_n1536_gemma__e5_base__chain_ERCcv_lr.csv,1536,True,True,True,True,present
e5_base,chain_ERCcv_lr,15,n192_gemma,g2f_labels_fold15_n192_gemma__e5_base__chain_ERCcv_lr.csv,192,True,True,True,True,present
e5_base,chain_ERCcv_lr,15,n3072_gemma,g2f_labels_fold15_n3072_gemma__e5_base__chain_ERCcv_lr.csv,3072,True,True,True,True,present
e5_base,chain_ERCcv_lr,15,n384_gemma,g2f_labels_fold15_n384_gemma__e5_base__chain_ERCcv_lr.csv,384,True,True,True,True,present
e5_base,chain_ERCcv_lr,15,n768_gemma,g2f_labels_fold15_n768_gemma__e5_base__chain_ERCcv_lr.csv,768,True,True,True,True,present
e5_base,chain_ERCcv_lr,15,n96_gemma,g2f_labels_fold15_n96_gemma__e5_base__chain_ERCcv_lr.csv,96,True,True,True,True,present
e5_base,chain_ERCcv_lr,16,n1536_gemma,g2f_labels_fold16_n1536_gemma__e5_base__chain_ERCcv_lr.csv,1536,True,True,True,True,present
e5_base,chain_ERCcv_lr,16,n192_gemma,g2f_labels_fold16_n192_gemma__e5_base__chain_ERCcv_lr.csv,192,True,True,True,True,present
e5_base,chain_ERCcv_lr,16,n3072_gemma,g2f_labels_fold16_n3072_gemma__e5_base__chain_ERCcv_lr.csv,3072,True,True,True,True,present
e5_base,chain_ERCcv_lr,16,n384_gemma,g2f_labels_fold16_n384_gemma__e5_base__chain_ERCcv_lr.csv,384,True,True,True,True,present
e5_base,chain_ERCcv_lr,16,n768_gemma,g2f_labels_fold16_n768_gemma__e5_base__chain_ERCcv_lr.csv,768,True,True,True,True,present
e5_base,chain_ERCcv_lr,16,n96_gemma,g2f_labels_fold16_n96_gemma__e5_base__chain_ERCcv_lr.csv,96,True,True,True,True,present
e5_base,chain_ERCcv_lr,17,n1536_gemma,g2f_labels_fold17_n1536_gemma__e5_base__chain_ERCcv_lr.csv,1536,True,True,True,True,present
e5_base,chain_ERCcv_lr,17,n192_gemma,g2f_labels_fold17_n192_gemma__e5_base__chain_ERCcv_lr.csv,192,True,True,True,True,present
e5_base,chain_ERCcv_lr,17,n3072_gemma,g2f_labels_fold17_n3072_gemma__e5_base__chain_ERCcv_lr.csv,3072,True,True,True,True,present
e5_base,chain_ERCcv_lr,17,n384_gemma,g2f_labels_fold17_n384_gemma__e5_base__chain_ERCcv_lr.csv,384,True,True,True,True,present
e5_base,chain_ERCcv_lr,17,n768_gemma,g2f_labels_fold17_n768_gemma__e5_base__chain_ERCcv_lr.csv,768,True,True,True,True,present
e5_base,chain_ERCcv_lr,17,n96_gemma,g2f_labels_fold17_n96_gemma__e5_base__chain_ERCcv_lr.csv,96,True,True,True,True,present
e5_base,chain_ERCcv_lr,18,n1536_gemma,g2f_labels_fold18_n1536_gemma__e5_base__chain_ERCcv_lr.csv,1536,True,True,True,True,present
e5_base,chain_ERCcv_lr,18,n192_gemma,g2f_labels_fold18_n192_gemma__e5_base__chain_ERCcv_lr.csv,192,True,True,True,True,present
e5_base,chain_ERCcv_lr,18,n3072_gemma,g2f_labels_fold18_n3072_gemma__e5_base__chain_ERCcv_lr.csv,3072,True,True,True,True,present
e5_base,chain_ERCcv_lr,18,n384_gemma,g2f_labels_fold18_n384_gemma__e5_base__chain_ERCcv_lr.csv,384,True,True,True,True,present
e5_base,chain_ERCcv_lr,18,n768_gemma,g2f_labels_fold18_n768_gemma__e5_base__chain_ERCcv_lr.csv,768,True,True,True,True,present
e5_base,chain_ERCcv_lr,18,n96_gemma,g2f_labels_fold18_n96_gemma__e5_base__chain_ERCcv_lr.csv,96,True,True,True,True,present
e5_base,chain_ERCcv_lr,19,n1536_gemma,g2f_labels_fold19_n1536_gemma__e5_base__chain_ERCcv_lr.csv,1536,True,True,True,True,present
e5_base,chain_ERCcv_lr,19,n192_gemma,g2f_labels_fold19_n192_gemma__e5_base__chain_ERCcv_lr.csv,192,True,True,True,True,present
e5_base,chain_ERCcv_lr,19,n3072_gemma,g2f_labels_fold19_n3072_gemma__e5_base__chain_ERCcv_lr.csv,3072,True,True,True,True,present
e5_base,chain_ERCcv_lr,19,n384_gemma,g2f_labels_fold19_n384_gemma__e5_base__chain_ERCcv_lr.csv,384,True,True,True,True,present
e5_base,chain_ERCcv_lr,19,n768_gemma,g2f_labels_fold19_n768_gemma__e5_base__chain_ERCcv_lr.csv,768,True,True,True,True,present
e5_base,chain_ERCcv_lr,19,n96_gemma,g2f_labels_fold19_n96_gemma__e5_base__chain_ERCcv_lr.csv,96,True,True,True,True,present
e5_base,chain_ERCcv_lr,20,n1536_gemma,g2f_labels_fold20_n1536_gemma__e5_base__chain_ERCcv_lr.csv,1536,True,True,True,True,present
e5_base,chain_ERCcv_lr,20,n192_gemma,g2f_labels_fold20_n192_gemma__e5_base__chain_ERCcv_lr.csv,192,True,True,True,True,present
e5_base,chain_ERCcv_lr,20,n3072_gemma,g2f_labels_fold20_n3072_gemma__e5_base__chain_ERCcv_lr.csv,3072,True,True,True,True,present
e5_base,chain_ERCcv_lr,20,n384_gemma,g2f_labels_fold20_n384_gemma__e5_base__chain_ERCcv_lr.csv,384,True,True,True,True,present
e5_base,chain_ERCcv_lr,20,n768_gemma,g2f_labels_fold20_n768_gemma__e5_base__chain_ERCcv_lr.csv,768,True,True,True,True,present
e5_base,chain_ERCcv_lr,20,n96_gemma,g2f_labels_fold20_n96_gemma__e5_base__chain_ERCcv_lr.csv,96,True,True,True,True,present
e5_base,chain_ERCcv_lr,21,n1536_gemma,g2f_labels_fold21_n1536_gemma__e5_base__chain_ERCcv_lr.csv,1536,True,True,True,True,present
e5_base,chain_ERCcv_lr,21,n192_gemma,g2f_labels_fold21_n192_gemma__e5_base__chain_ERCcv_lr.csv,192,True,True,True,True,present
e5_base,chain_ERCcv_lr,21,n3072_gemma,g2f_labels_fold21_n3072_gemma__e5_base__chain_ERCcv_lr.csv,3072,True,True,True,True,present
e5_base,chain_ERCcv_lr,21,n384_gemma,g2f_labels_fold21_n384_gemma__e5_base__chain_ERCcv_lr.csv,384,True,True,True,True,present
e5_base,chain_ERCcv_lr,21,n768_gemma,g2f_labels_fold21_n768_gemma__e5_base__chain_ERCcv_lr.csv,768,True,True,True,True,present
e5_base,chain_ERCcv_lr,21,n96_gemma,g2f_labels_fold21_n96_gemma__e5_base__chain_ERCcv_lr.csv,96,True,True,True,True,present
e5_base,chain_ERCcv_lr,22,n1536_gemma,g2f_labels_fold22_n1536_gemma__e5_base__chain_ERCcv_lr.csv,1536,True,True,True,True,present
e5_base,chain_ERCcv_lr,22,n192_gemma,g2f_labels_fold22_n192_gemma__e5_base__chain_ERCcv_lr.csv,192,True,True,True,True,present
e5_base,chain_ERCcv_lr,22,n3072_gemma,g2f_labels_fold22_n3072_gemma__e5_base__chain_ERCcv_lr.csv,3072,True,True,True,True,present
e5_base,chain_ERCcv_lr,22,n384_gemma,g2f_labels_fold22_n384_gemma__e5_base__chain_ERCcv_lr.csv,384,True,True,True,True,present
e5_base,chain_ERCcv_lr,22,n768_gemma,g2f_labels_fold22_n768_gemma__e5_base__chain_ERCcv_lr.csv,768,True,True,True,True,present
e5_base,chain_ERCcv_lr,22,n96_gemma,g2f_labels_fold22_n96_gemma__e5_base__chain_ERCcv_lr.csv,96,True,True,True,True,present
e5_base,chain_ERCcv_lr,23,n1536_gemma,g2f_labels_fold23_n1536_gemma__e5_base__chain_ERCcv_lr.csv,1536,True,True,True,True,present
e5_base,chain_ERCcv_lr,23,n192_gemma,g2f_labels_fold23_n192_gemma__e5_base__chain_ERCcv_lr.csv,192,True,True,True,True,present
e5_base,chain_ERCcv_lr,23,n3072_gemma,g2f_labels_fold23_n3072_gemma__e5_base__chain_ERCcv_lr.csv,3072,True,True,True,True,present
e5_base,chain_ERCcv_lr,23,n384_gemma,g2f_labels_fold23_n384_gemma__e5_base__chain_ERCcv_lr.csv,384,True,True,True,True,present
e5_base,chain_ERCcv_lr,23,n768_gemma,g2f_labels_fold23_n768_gemma__e5_base__chain_ERCcv_lr.csv,768,True,True,True,True,present
e5_base,chain_ERCcv_lr,23,n96_gemma,g2f_labels_fold23_n96_gemma__e5_base__chain_ERCcv_lr.csv,96,True,True,True,True,present
e5_base,chain_ERCcv_lr,24,n1536_gemma,g2f_labels_fold24_n1536_gemma__e5_base__chain_ERCcv_lr.csv,1536,True,True,True,True,present
e5_base,chain_ERCcv_lr,24,n192_gemma,g2f_labels_fold24_n192_gemma__e5_base__chain_ERCcv_lr.csv,192,True,True,True,True,present
e5_base,chain_ERCcv_lr,24,n3072_gemma,g2f_labels_fold24_n3072_gemma__e5_base__chain_ERCcv_lr.csv,3072,True,True,True,True,present
e5_base,chain_ERCcv_lr,24,n384_gemma,g2f_labels_fold24_n384_gemma__e5_base__chain_ERCcv_lr.csv,384,True,True,True,True,present
e5_base,chain_ERCcv_lr,24,n768_gemma,g2f_labels_fold24_n768_gemma__e5_base__chain_ERCcv_lr.csv,768,True,True,True,True,present
e5_base,chain_ERCcv_lr,24,n96_gemma,g2f_labels_fold24_n96_gemma__e5_base__chain_ERCcv_lr.csv,96,True,True,True,True,present
e5_base,chain_ERCcv_lr,25,n1536_gemma,g2f_labels_fold25_n1536_gemma__e5_base__chain_ERCcv_lr.csv,1536,True,True,True,True,present
e5_base,chain_ERCcv_lr,25,n192_gemma,g2f_labels_fold25_n192_gemma__e5_base__chain_ERCcv_lr.csv,192,True,True,True,True,present
e5_base,chain_ERCcv_lr,25,n3072_gemma,g2f_labels_fold25_n3072_gemma__e5_base__chain_ERCcv_lr.csv,3072,True,True,True,True,present
e5_base,chain_ERCcv_lr,25,n384_gemma,g2f_labels_fold25_n384_gemma__e5_base__chain_ERCcv_lr.csv,384,True,True,True,True,present
e5_base,chain_ERCcv_lr,25,n768_gemma,g2f_labels_fold25_n768_gemma__e5_base__chain_ERCcv_lr.csv,768,True,True,True,True,present
e5_base,chain_ERCcv_lr,25,n96_gemma,g2f_labels_fold25_n96_gemma__e5_base__chain_ERCcv_lr.csv,96,True,True,True,True,present
e5_base,chain_ERCcv_lr,26,n1536_gemma,g2f_labels_fold26_n1536_gemma__e5_base__chain_ERCcv_lr.csv,1536,True,True,True,True,present
e5_base,chain_ERCcv_lr,26,n192_gemma,g2f_labels_fold26_n192_gemma__e5_base__chain_ERCcv_lr.csv,192,True,True,True,True,present
e5_base,chain_ERCcv_lr,26,n3072_gemma,g2f_labels_fold26_n3072_gemma__e5_base__chain_ERCcv_lr.csv,3072,True,True,True,True,present
e5_base,chain_ERCcv_lr,26,n384_gemma,g2f_labels_fold26_n384_gemma__e5_base__chain_ERCcv_lr.csv,384,True,True,True,True,present
e5_base,chain_ERCcv_lr,26,n768_gemma,g2f_labels_fold26_n768_gemma__e5_base__chain_ERCcv_lr.csv,768,True,True,True,True,present
e5_base,chain_ERCcv_lr,26,n96_gemma,g2f_labels_fold26_n96_gemma__e5_base__chain_ERCcv_lr.csv,96,True,True,True,True,present
e5_base,chain_ERCcv_lr,27,n1536_gemma,g2f_labels_fold27_n1536_gemma__e5_base__chain_ERCcv_lr.csv,1536,True,True,True,True,present
e5_base,chain_ERCcv_lr,27,n192_gemma,g2f_labels_fold27_n192_gemma__e5_base__chain_ERCcv_lr.csv,192,True,True,True,True,present
e5_base,chain_ERCcv_lr,27,n3072_gemma,g2f_labels_fold27_n3072_gemma__e5_base__chain_ERCcv_lr.csv,3072,True,True,True,True,present
e5_base,chain_ERCcv_lr,27,n384_gemma,g2f_labels_fold27_n384_gemma__e5_base__chain_ERCcv_lr.csv,384,True,True,True,True,present
e5_base,chain_ERCcv_lr,27,n768_gemma,g2f_labels_fold27_n768_gemma__e5_base__chain_ERCcv_lr.csv,768,True,True,True,True,present
e5_base,chain_ERCcv_lr,27,n96_gemma,g2f_labels_fold27_n96_gemma__e5_base__chain_ERCcv_lr.csv,96,True,True,True,True,present
e5_base,chain_ERCcv_lr,28,n1536_gemma,g2f_labels_fold28_n1536_gemma__e5_base__chain_ERCcv_lr.csv,1536,True,True,True,True,present
e5_base,chain_ERCcv_lr,28,n192_gemma,g2f_labels_fold28_n192_gemma__e5_base__chain_ERCcv_lr.csv,192,True,True,True,True,present
e5_base,chain_ERCcv_lr,28,n3072_gemma,g2f_labels_fold28_n3072_gemma__e5_base__chain_ERCcv_lr.csv,3072,True,True,True,True,present
e5_base,chain_ERCcv_lr,28,n384_gemma,g2f_labels_fold28_n384_gemma__e5_base__chain_ERCcv_lr.csv,384,True,True,True,True,present
e5_base,chain_ERCcv_lr,28,n768_gemma,g2f_labels_fold28_n768_gemma__e5_base__chain_ERCcv_lr.csv,768,True,True,True,True,present
e5_base,chain_ERCcv_lr,28,n96_gemma,g2f_labels_fold28_n96_gemma__e5_base__chain_ERCcv_lr.csv,96,True,True,True,True,present
e5_base,chain_ERCcv_lr,29,n1536_gemma,g2f_labels_fold29_n1536_gemma__e5_base__chain_ERCcv_lr.csv,1536,True,True,True,True,present
e5_base,chain_ERCcv_lr,29,n192_gemma,g2f_labels_fold29_n192_gemma__e5_base__chain_ERCcv_lr.csv,192,True,True,True,True,present
e5_base,chain_ERCcv_lr,29,n3072_gemma,g2f_labels_fold29_n3072_gemma__e5_base__chain_ERCcv_lr.csv,3072,True,True,True,True,present
e5_base,chain_ERCcv_lr,29,n384_gemma,g2f_labels_fold29_n384_gemma__e5_base__chain_ERCcv_lr.csv,384,True,True,True,True,present
e5_base,chain_ERCcv_lr,29,n768_gemma,g2f_labels_fold29_n768_gemma__e5_base__chain_ERCcv_lr.csv,768,True,True,True,True,present
e5_base,chain_ERCcv_lr,29,n96_gemma,g2f_labels_fold29_n96_gemma__e5_base__chain_ERCcv_lr.csv,96,True,True,True,True,present
